uid,title,description,url,audio_url,collection,vendor,vendor_identifier,notes
051213_JoyceMaynard_LoveIsTheBestArtOfAll_MRH1317,Love Is The Best Art Of All,Joyce Maynard,,https://themoth.box.com/s/sl7u6eiv5witx17uremqow39u6oatup4,audio-library-for-web,pop_up_archive,50402,
060117_EricKonigsberg_CryingUncle_POD,Crying Uncle,Eric Konigsberg,,https://themoth.box.com/s/w99h833ielns261j5rkh1ibsjb36c00a,audio-library-for-web,pop_up_archive,50403,
060125_EdgarOliver_TheApronStringsOfSavannah_MRH1103,The Apron Strings Of Savannah,Edgar Oliver,,https://themoth.box.com/s/287x91mz9txa4w7epvfuvdbm036mt4cr,audio-library-for-web,pop_up_archive,50404,
060125_JamesBraly_OneLastFamilyPhoto_MRH1323,One Last Family Photo,James Braly,,https://themoth.box.com/s/dicyuu9tulekjcrevxk141r4wz8ezxz2,audio-library-for-web,pop_up_archive,50405,
060222_BarryGibbs_Exonerated_POD,Exonerated,Barry Gibbs,,https://themoth.box.com/s/0i8kqa80prbyapoa01j9hegntfwvyhxp,audio-library-for-web,pop_up_archive,50406,
060222_LizTuccillo_UnpopularInJail_POD,Unpopular In Jail,Liz Tuccillo,,https://themoth.box.com/s/uc15dkx8p6moiucv299r2diakoi9dq96,audio-library-for-web,pop_up_archive,50407,
060222_SteveOsborne_WalkLikeACopTalkLikeACop_POD,"Walk Like A Cop, Talk Like A Cop",Steve Osborne,,https://themoth.box.com/s/ysldqk1s7kx1p6rpky5x0uny6w6p0p8h,audio-library-for-web,pop_up_archive,50408,
060419_JackHitt_Slumlord_POD,Slumlord,Jack Hitt,,https://themoth.box.com/s/9rn04dxvd1cihd8cztc6nhptlvv8zyb9,audio-library-for-web,pop_up_archive,50409,
060503_MarvinGelfand_Anger_POD,Anger,Marvin Gelfand,,https://themoth.box.com/s/4yykls3p95x86dacnlif02x5mtlghnwx,audio-library-for-web,pop_up_archive,50410,
060503_RandyCohen_CockerspanielOfTheJews_POD,Cockerspaniel Of The Jews,Randy Cohen,,https://themoth.box.com/s/scqt6okhju707zvtzlj4kd1imbp73jx5,audio-library-for-web,pop_up_archive,50411,
060503_ToddHanson_Sloth_POD,Sloth,Todd Hanson,,https://themoth.box.com/s/5w8pcvdcozq5f0hwi8265rk9lqa6xntb,audio-library-for-web,pop_up_archive,50412,
060607_BorisTimanovksy_AGravePredicament_MRH1516,A Grave Predicament,Boris Timanovksy,,https://themoth.box.com/s/5w5676kdrmi4elbroha5gh076d4slg9g,audio-library-for-web,pop_up_archive,50413,
060621_AndyChristie_WellHaveToStopNow_MRH1322,We'll Have To Stop Now,Andy Christie,,https://themoth.box.com/s/fsw2m9bhs8czjdj9jct5vwxubkytofuj,audio-library-for-web,pop_up_archive,50414,
060621_JonLevin_ElevatorER_MRH1010,Elevator ER,Jon Levin,,https://themoth.box.com/s/kgrm16kf4nfol9zhbv161cxjhyyz3tl8,audio-library-for-web,pop_up_archive,50415,
060912_DinaPearlman_FunnyThatWay_POD,Funny That Way,Dina Pearlman,,https://themoth.box.com/s/yoi7cn7jkst02vb817xaorf8k5acw926,audio-library-for-web,pop_up_archive,50416,
060920_SimonDoonan_FearOfSquat_POD,Fear Of Squat,Simon Doonan,,https://themoth.box.com/s/09f9uegx3bkc9pz2qqh2weio25gbz9xu,audio-library-for-web,pop_up_archive,50417,
